contact_id,first_name,last_name,email,company,industry,lead_source,job_title,country,opted_in,signup_date
9c9a93d8-bf1b-42ff-8264-ad77108858a2,Tamara,Brown,thomasjoshua@example.org,Hudson LLC,Finance,Organic Search,"Accountant, chartered management",Gambia,True,2025-05-25
902fe3db-c9e8-49ec-9a51-bd8ca58f1766,Adam,Morales,sbartlett@example.org,"Boyd, Anderson and Martinez",Education,Event,Animator,Saint Barthelemy,False,2025-05-25
bd6a2056-7b22-4cbd-80cb-2fcf319c8376,Alex,Williams,danielfranklin@example.org,"Brown, Ross and Johnson",Education,Email,Forensic scientist,Turks and Caicos Islands,True,2025-05-25
d9db48ca-18ac-4612-b5fa-5f85366a3120,Gabriel,Johnson,jesse89@example.org,Henson LLC,Technology,Email,Paramedic,United States of America,True,2025-05-25
9912ef6b-be6c-4c3b-8a07-3a84b65315ec,Daisy,Murphy,emcclure@example.com,"Snyder, Burns and Orr",Technology,Web,Chartered legal executive (England and Wales),Greece,True,2025-05-25
65318630-1b4f-410e-bcbd-f522e94923d0,Christopher,Hernandez,birdjennifer@example.net,Williams-Cisneros,Education,Web,Armed forces operational officer,Japan,True,2025-05-25
99adcd9c-72fe-4aca-9d1d-450b3cc7d608,Brian,Baldwin,espinozanoah@example.org,Buchanan-Edwards,Education,Event,Theme park manager,Bahamas,False,2025-05-25
41edf13c-154a-482d-b920-3699b12213f4,Brooke,Mendoza,andersonwilliam@example.net,"Garcia, Roberts and Glenn",Finance,Organic Search,General practice doctor,Sweden,True,2025-05-25
296fccff-a248-46c9-94f9-a4de3fd2e4d1,Frank,Russell,latoya69@example.com,"Jones, George and Rush",Education,Organic Search,Academic librarian,Indonesia,False,2025-05-25
b4d25171-ff4f-495b-8b5c-3969241553ca,William,Martin,francorichard@example.org,"Miller, Collins and Diaz",Finance,Referral,"Development worker, community",Palau,True,2025-05-25
87002b18-b794-40b3-be99-1b084938af84,Christopher,Rodgers,andersonamanda@example.org,Nelson-Baker,Finance,Paid Social,"Runner, broadcasting/film/video",Rwanda,True,2025-05-25
585f3565-0fcd-49fa-b3cb-460ec4101c7a,Leon,Blankenship,ygeorge@example.org,Cruz LLC,Finance,Referral,Television floor manager,Holy See (Vatican City State),False,2025-05-25
b0d56e29-1809-4430-a3ba-2777ab05bc4d,Dawn,Thomas,bclarke@example.com,"Park, Jacobson and Brown",Education,Organic Search,Water quality scientist,Egypt,True,2025-05-25
2d344c8c-c22f-4256-99df-1e78445baa3e,Kevin,Deleon,janice28@example.org,Rivera and Sons,Finance,Event,Broadcast presenter,Suriname,False,2025-05-25
